path,emotion,gender
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_01\03-01-06-01-01-02-01.wav,fearful,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_01\03-01-06-01-02-01-01.wav,fearful,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_01\03-01-06-01-02-02-01.wav,fearful,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_01\03-01-06-02-01-01-01.wav,fearful,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_01\03-01-06-02-01-02-01.wav,fearful,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_01\03-01-06-02-02-01-01.wav,fearful,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_01\03-01-06-02-02-02-01.wav,fearful,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_01\03-01-07-01-01-01-01.wav,disgust,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_01\03-01-07-01-01-02-01.wav,disgust,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_01\03-01-07-01-02-01-01.wav,disgust,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_01\03-01-07-01-02-02-01.wav,disgust,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_01\03-01-07-02-01-01-01.wav,disgust,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_01\03-01-07-02-01-02-01.wav,disgust,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_01\03-01-07-02-02-01-01.wav,disgust,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_01\03-01-07-02-02-02-01.wav,disgust,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_01\03-01-08-01-01-01-01.wav,surprised,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_01\03-01-08-01-01-02-01.wav,surprised,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_01\03-01-08-01-02-01-01.wav,surprised,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_01\03-01-08-01-02-02-01.wav,surprised,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_01\03-01-08-02-01-01-01.wav,surprised,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_01\03-01-08-02-01-02-01.wav,surprised,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_01\03-01-08-02-02-01-01.wav,surprised,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_01\03-01-08-02-02-02-01.wav,surprised,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_02\03-01-01-01-01-01-02.wav,neutral,female
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_02\03-01-01-01-01-02-02.wav,neutral,female
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_02\03-01-01-01-02-01-02.wav,neutral,female
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_02\03-01-01-01-02-02-02.wav,neutral,female
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_02\03-01-02-01-01-01-02.wav,calm,female
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_02\03-01-02-01-01-02-02.wav,calm,female
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_02\03-01-02-01-02-01-02.wav,calm,female
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_02\03-01-02-01-02-02-02.wav,calm,female
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_02\03-01-02-02-01-01-02.wav,calm,female
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_02\03-01-02-02-01-02-02.wav,calm,female
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_02\03-01-02-02-02-01-02.wav,calm,female
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_02\03-01-02-02-02-02-02.wav,calm,female
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_02\03-01-03-01-01-01-02.wav,happy,female
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_02\03-01-03-01-01-02-02.wav,happy,female
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_02\03-01-03-01-02-01-02.wav,happy,female
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_02\03-01-03-01-02-02-02.wav,happy,female
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_02\03-01-03-02-01-01-02.wav,happy,female
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_02\03-01-03-02-01-02-02.wav,happy,female
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_02\03-01-03-02-02-01-02.wav,happy,female
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_02\03-01-03-02-02-02-02.wav,happy,female
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_02\03-01-04-01-01-01-02.wav,sad,female
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_02\03-01-04-01-01-02-02.wav,sad,female
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_02\03-01-04-01-02-01-02.wav,sad,female
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_02\03-01-04-01-02-02-02.wav,sad,female
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_02\03-01-04-02-01-01-02.wav,sad,female
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_02\03-01-04-02-01-02-02.wav,sad,female
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_02\03-01-04-02-02-01-02.wav,sad,female
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_02\03-01-04-02-02-02-02.wav,sad,female
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_02\03-01-05-01-01-01-02.wav,angry,female
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_02\03-01-05-01-01-02-02.wav,angry,female
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_02\03-01-05-01-02-01-02.wav,angry,female
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_02\03-01-05-01-02-02-02.wav,angry,female
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_02\03-01-05-02-01-01-02.wav,angry,female
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_02\03-01-05-02-01-02-02.wav,angry,female
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_02\03-01-05-02-02-01-02.wav,angry,female
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_02\03-01-05-02-02-02-02.wav,angry,female
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_02\03-01-06-01-01-01-02.wav,fearful,female
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_02\03-01-06-01-01-02-02.wav,fearful,female
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_02\03-01-06-01-02-01-02.wav,fearful,female
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_02\03-01-06-01-02-02-02.wav,fearful,female
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_02\03-01-06-02-01-01-02.wav,fearful,female
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_02\03-01-06-02-01-02-02.wav,fearful,female
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_02\03-01-06-02-02-01-02.wav,fearful,female
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_02\03-01-06-02-02-02-02.wav,fearful,female
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_02\03-01-07-01-01-01-02.wav,disgust,female
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_02\03-01-07-01-01-02-02.wav,disgust,female
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_02\03-01-07-01-02-01-02.wav,disgust,female
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_02\03-01-07-01-02-02-02.wav,disgust,female
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_02\03-01-07-02-01-01-02.wav,disgust,female
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_02\03-01-07-02-01-02-02.wav,disgust,female
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_02\03-01-07-02-02-01-02.wav,disgust,female
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_02\03-01-07-02-02-02-02.wav,disgust,female
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_02\03-01-08-01-01-01-02.wav,surprised,female
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_02\03-01-08-01-01-02-02.wav,surprised,female
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_02\03-01-08-01-02-01-02.wav,surprised,female
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_02\03-01-08-01-02-02-02.wav,surprised,female
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_02\03-01-08-02-01-01-02.wav,surprised,female
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_02\03-01-08-02-01-02-02.wav,surprised,female
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_02\03-01-08-02-02-01-02.wav,surprised,female
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_02\03-01-08-02-02-02-02.wav,surprised,female
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_03\03-01-01-01-01-01-03.wav,neutral,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_03\03-01-01-01-01-02-03.wav,neutral,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_03\03-01-01-01-02-01-03.wav,neutral,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_03\03-01-01-01-02-02-03.wav,neutral,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_03\03-01-02-01-01-01-03.wav,calm,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_03\03-01-02-01-01-02-03.wav,calm,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_03\03-01-02-01-02-01-03.wav,calm,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_03\03-01-02-01-02-02-03.wav,calm,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_03\03-01-02-02-01-01-03.wav,calm,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_03\03-01-02-02-01-02-03.wav,calm,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_03\03-01-02-02-02-01-03.wav,calm,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_03\03-01-02-02-02-02-03.wav,calm,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_03\03-01-03-01-01-01-03.wav,happy,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_03\03-01-03-01-01-02-03.wav,happy,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_03\03-01-03-01-02-01-03.wav,happy,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_03\03-01-03-01-02-02-03.wav,happy,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_03\03-01-03-02-01-01-03.wav,happy,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_03\03-01-03-02-01-02-03.wav,happy,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_03\03-01-03-02-02-01-03.wav,happy,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_03\03-01-03-02-02-02-03.wav,happy,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_03\03-01-04-01-01-01-03.wav,sad,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_03\03-01-04-01-01-02-03.wav,sad,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_03\03-01-04-01-02-01-03.wav,sad,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_03\03-01-04-01-02-02-03.wav,sad,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_03\03-01-04-02-01-01-03.wav,sad,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_03\03-01-04-02-01-02-03.wav,sad,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_03\03-01-04-02-02-01-03.wav,sad,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_03\03-01-04-02-02-02-03.wav,sad,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_03\03-01-05-01-01-01-03.wav,angry,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_03\03-01-05-01-01-02-03.wav,angry,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_03\03-01-05-01-02-01-03.wav,angry,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_03\03-01-05-01-02-02-03.wav,angry,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_03\03-01-05-02-01-01-03.wav,angry,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_03\03-01-05-02-01-02-03.wav,angry,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_03\03-01-05-02-02-01-03.wav,angry,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_03\03-01-05-02-02-02-03.wav,angry,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_03\03-01-06-01-01-01-03.wav,fearful,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_03\03-01-06-01-01-02-03.wav,fearful,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_03\03-01-06-01-02-01-03.wav,fearful,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_03\03-01-06-01-02-02-03.wav,fearful,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_03\03-01-06-02-01-01-03.wav,fearful,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_03\03-01-06-02-01-02-03.wav,fearful,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_03\03-01-06-02-02-01-03.wav,fearful,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_03\03-01-06-02-02-02-03.wav,fearful,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_03\03-01-07-01-01-01-03.wav,disgust,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_03\03-01-07-01-01-02-03.wav,disgust,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_03\03-01-07-01-02-01-03.wav,disgust,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_03\03-01-07-01-02-02-03.wav,disgust,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_03\03-01-07-02-01-01-03.wav,disgust,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_03\03-01-07-02-01-02-03.wav,disgust,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_03\03-01-07-02-02-01-03.wav,disgust,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_03\03-01-07-02-02-02-03.wav,disgust,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_03\03-01-08-01-01-01-03.wav,surprised,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_03\03-01-08-01-01-02-03.wav,surprised,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_03\03-01-08-01-02-01-03.wav,surprised,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_03\03-01-08-01-02-02-03.wav,surprised,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_03\03-01-08-02-01-01-03.wav,surprised,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_03\03-01-08-02-01-02-03.wav,surprised,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_03\03-01-08-02-02-01-03.wav,surprised,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_03\03-01-08-02-02-02-03.wav,surprised,male
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_04\03-01-01-01-01-01-04.wav,neutral,female
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_04\03-01-01-01-01-02-04.wav,neutral,female
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_04\03-01-01-01-02-01-04.wav,neutral,female
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_04\03-01-01-01-02-02-04.wav,neutral,female
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_04\03-01-02-01-01-01-04.wav,calm,female
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_04\03-01-02-01-01-02-04.wav,calm,female
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_04\03-01-02-01-02-01-04.wav,calm,female
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_04\03-01-02-01-02-02-04.wav,calm,female
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_04\03-01-02-02-01-01-04.wav,calm,female
C:/Users/Varun Mutalik Desai/Desktop/AI Club/data/ravdess-emotional-speech-audio\Actor_04\03-01-02-02-01-02-04.wav,calm,female
